12689.76556209;45079.97662344;-0.00000015
12529.76556304;44019.97662344;-0.00000015
9984.77106813;42819.97987976;-0.00000006
7909.75879863;43279.48817911;-0.00000008
7339.96566728;44919.48817911;-0.00000008
6134.58129716;44539.92470465;0.00000031
6460.03324321;44935.44668093;0.00000008
8899.97518209;42588.79830112;0
8900.11088088;42768.79830065;-0.00000015
8899.97518209;42950.6981658;0
7909.1681619;42634.32599821;0
8900.1348863;44884.2559742;0
12950.46734241;44709.96908274;-0.00000023
13100.8873649;43871.40426912;0.00000008
